pulgar,indice,corazon,anular,menique,pulgar_indice,simb
1.029015109,2.001460155,0.774326059,0.519528458,0.475087483,0.973841794,0
1.030887181,1.964514674,0.782030213,0.555012592,0.520587132,1.012708528,0
1.031129271,2.002509268,0.750104611,0.498800204,0.42086638,0.982150676,0
1.032533709,1.99449217,0.756811092,0.533190431,0.487932044,0.964270757,0
1.032950257,2.001597199,0.743705147,0.476719575,0.434783143,0.988938328,0
1.033338812,1.987611164,0.738971492,0.506274324,0.447758163,0.967916883,0
1.035445222,2.002323939,0.808452083,0.539304805,0.466311004,0.970401585,0
1.035454733,1.999490924,0.769782218,0.486295095,0.434018338,0.972628957,0
1.035851206,1.993038704,0.751589947,0.480254736,0.435565055,0.969961533,0
1.035912643,1.992383999,0.718755214,0.476096869,0.400728729,0.958265565,0
1.03820801,1.998170859,0.775370301,0.503316187,0.428663971,0.966053137,0
1.04037139,1.997581282,0.746505432,0.50453503,0.405429862,0.968545854,0
1.040908687,1.995142873,0.741489009,0.488905675,0.429066335,0.967837859,0
1.042321723,2.006113106,0.779155205,0.538661362,0.476204482,0.967292232,0
1.042749015,1.995652794,0.759927945,0.481000042,0.439918082,0.961835175,0
1.043109231,2.012806574,0.740839137,0.503662521,0.483307019,0.978811779,0
1.044301271,2.007375853,0.772242499,0.523733257,0.473711866,0.970723001,0
1.044458514,1.999765505,0.787543715,0.537556114,0.509292905,0.961618477,0
1.04448736,1.991891254,0.764198927,0.499353428,0.431526806,0.96747093,0
1.044583645,1.969540849,0.714053828,0.541614213,0.510638777,1.000540833,0
1.046856574,2.008892918,0.781730693,0.490798825,0.438392476,0.972837442,0
1.047146,2.000670129,0.764493559,0.524212674,0.471436115,0.954739834,0
1.047515413,2.003280052,0.761731799,0.508622783,0.461513318,0.95806514,0
1.049001024,1.989509828,0.717550065,0.49879871,0.411954218,0.956934056,0
1.049292693,2.010143707,0.75634765,0.500642995,0.48519694,0.974437359,0
1.049403355,1.997295469,0.715872902,0.519275042,0.433762248,0.967776026,0
1.049457012,1.960116832,0.754509155,0.5554914,0.503133624,0.985199688,0
1.049970964,1.995139054,0.760264928,0.499240104,0.433842197,0.959799411,0
1.050457442,2.012438552,0.747503434,0.521801559,0.489823581,0.977860569,0
1.050637433,1.996406853,0.763789261,0.494277105,0.440789296,0.958909625,0
1.051743726,2.002806625,0.767484488,0.51959227,0.439900156,0.963962356,0
1.052269857,2.002887393,0.757656163,0.482912945,0.426799106,0.96713388,0
1.052396627,1.989825926,0.778744694,0.499290734,0.452441829,0.939709595,0
1.052962088,1.99368486,0.790159458,0.520963099,0.45306547,0.947035077,0
1.05368112,2.005480296,0.781024968,0.531220408,0.469820931,0.955854872,0
1.05880129,2.020525053,0.742199164,0.5,0.485683284,0.975414099,0
1.061989651,2.007211365,0.788743565,0.557431453,0.539164751,0.979973511,0
1.062989165,2.01515091,0.755203897,0.504122797,0.460577655,0.95392367,0
1.065032824,1.988853549,0.796514252,0.528225847,0.46325565,0.928813383,0
1.065313721,2.000707224,0.789256452,0.516234862,0.45354677,0.94459175,0
1.065742148,2.010922925,0.749853559,0.504025188,0.477939741,0.948045113,0
1.066721136,2.019266087,0.77482783,0.517390964,0.4935109,0.969595077,0
1.066841495,1.991505346,0.778760989,0.50451848,0.454361785,0.945299656,0
1.067820633,1.991439398,0.776450968,0.487806077,0.434783143,0.944697462,0
1.068258616,1.993459895,0.772238915,0.498940053,0.421900462,0.945204615,0
1.069860525,1.990368841,0.780959136,0.510305116,0.455331174,0.944337746,0
1.070322537,2.019727328,0.77728946,0.513066655,0.483772066,0.950437465,0
1.070856369,1.994573508,0.761053656,0.51768775,0.464113068,0.925445785,0
1.071351667,1.992350585,0.785135884,0.493262384,0.450238371,0.944081928,0
1.071545581,1.987836747,0.78030748,0.509879302,0.458743143,0.945723217,0
1.071636644,2.020276523,0.762646933,0.503962131,0.469650509,0.954195685,0
1.073193701,2.010189836,0.793829509,0.531168126,0.481522684,0.94244373,0
1.073317065,1.988237361,0.80351594,0.537163869,0.4740131,0.920483729,0
1.073901753,2.004447295,0.760109061,0.499649094,0.457237771,0.945920317,0
